                              110 macb d/drwxrwxrwx 0        0        3671-48-2 /Documents and Settings ($FILE_NAME)
Thu Aug 19 2004 20:02:10        0 ..c. r/rrwxrwxrwx 48       0        127-128-3 /AUTOEXEC.BAT
                               30 ..c. r/rrwxrwxrwx 48       0        129-128-3 /CONFIG.SYS
Thu Aug 19 2004 20:02:11   222368 ..c. r/r--x--x--x 48       0        3662-128-3 /ntldr
                            45124 ..c. r/r--x--x--x 48       0        3663-128-3 /ntdetect.com
Thu Aug 19 2004 20:02:21     1012 ..c. r/rrwxrwxrwx 48       0        122-128-3 /FRUNLOG.TXT
                             1676 ..c. r/r--x--x--x 48       0        126-128-3 /MSDOS.SYS
                            49152 ..c. r/rr-xr-xr-x 48       0        131-128-3 /VIDEOROM.BIN
                           222390 ..c. r/r--x--x--x 48       0        133-128-3 /IO.SYS
Fri Aug 20 2004 01:20:04      194 m... r/rr-xr-xr-x 48       0        3664-128-4 /boot.ini
Fri Aug 20 2004 01:38:21       30 .a.. r/rrwxrwxrwx 48       0        129-128-3 /CONFIG.SYS
Fri Aug 20 2004 01:40:19    41727 ..c. r/rr-xr-xr-x 48       0        119-128-3 /BOOTLOG.TXT
                            93890 ..c. r/rr-xr-xr-x 48       0        120-128-3 /COMMAND.COM
                             5166 ..c. r/rr-xr-xr-x 48       0        121-128-3 /SUHDLOG.DAT
                               22 ..c. r/rr-xr-xr-x 48       0        123-128-3 /MSDOS.---
                            99731 ..c. r/rr-xr-xr-x 48       0        124-128-3 /SETUPLOG.TXT
                             3345 ..c. r/rr-xr-xr-x 48       0        125-128-3 /NETLOG.TXT
                            70936 ..c. r/rr-xr-xr-x 48       0        128-128-3 /DETLOG.TXT
                            46251 ..c. r/rr-xr-xr-x 48       0        130-128-3 /BOOTLOG.PRV
                           446496 ..c. r/rr-xr-xr-x 48       0        132-128-3 /SYSTEM.1ST
                              194 ..c. r/rr-xr-xr-x 48       0        3664-128-4 /boot.ini
                              512 ..c. r/rr-xr-xr-x 48       0        456-128-3 /BOOTSECT.DOS
Fri Aug 20 2004 01:50:30       90 mac. r/rr-xr-xr-x 0        0        228-48-2 /pagefile.sys ($FILE_NAME)
Fri Aug 20 2004 01:53:08      160 ...b d/dr-xr-xr-x 0        0        411-144-1 /System Volume Information
                              116 macb d/dr-xr-xr-x 0        0        411-48-2 /System Volume Information ($FILE_NAME)
Fri Aug 20 2004 01:53:09      160 m.c. d/dr-xr-xr-x 0        0        411-144-1 /System Volume Information
Fri Aug 20 2004 02:04:01 133730304 ...b r/rr-xr-xr-x 0        0        343-128-1 /hiberfil.sys
                               90 macb r/rr-xr-xr-x 0        0        343-48-2 /hiberfil.sys ($FILE_NAME)
Fri Aug 20 2004 02:04:05       56 m.c. d/drwxrwxrwx 0        0        3671-144-7 /Documents and Settings
Fri Aug 20 2004 18:19:12       48 m..b d/drwxrwxrwx 0        0        10519-144-1 /Temp
                               74 macb d/drwxrwxrwx 0        0        10519-48-4 /Temp ($FILE_NAME)
Fri Aug 20 2004 18:21:05       56 m.c. d/drwxrwxrwx 48       0        330-144-7 /My Documents
Fri Aug 20 2004 18:21:09       56 .a.. d/drwxrwxrwx 48       0        330-144-7 /My Documents
Fri Aug 20 2004 18:26:37       48 .a.. d/drwxrwxrwx 0        0        10519-144-1 /Temp
                               56 .a.. d/drwxrwxrwx 48       0        17-144-3 /WIN98
